acid,MG,ST,FC,P_CLR,P_FRM,P_DENS,POD,SC_L,SC_CLR,H_CLR,protein,oil,Linoleic,Linolenic,eno,R1,R8,Hgt,Mat,Ldg,SQ,SdWgt,Yield,CommonName
PI196149,III,D,W,T,E,N,Br,S,Bl,Bl,42.9,17.7,49.2,8.5,11003.0,715.0,926.0,53.0,926.0,2.4,3.8,34.0,1.2,Banseihikarikuro
PI196150,II,D,P,-,-,G,Bl,S,Y,Br,39.2,17.6,47.8,8.2,11002.0,716.0,927.0,41.0,927.0,1.1,2.5,15.7,1.08,Chuseihadaka
PI196151,II,D,W,T,E,Ssp,Br,S,Bl,Bl,38.0,20.6,44.6,5.8,11002.0,706.0,915.0,56.0,915.0,1.2,3.0,28.1,1.98,Chuseihikarikuro
PI196152,III,D,P,G,E,N,Br,S,Y,Bf,42.9,19.0,49.7,10.1,11003.0,718.0,928.0,74.0,928.0,2.9,3.0,16.4,2.35,Gindaizu
PI196153,III,D,P,T,E,N,Br,D,Lgn,Br,42.7,20.0,52.8,8.5,11003.0,714.0,919.0,51.0,919.0,2.8,2.5,14.1,1.51,Isikarisiro-1
PI196154,II,D,P,T,E,Ssp,Br,D,Y,Br,40.4,19.3,48.3,7.1,11002.0,711.0,911.0,69.0,911.0,1.4,2.8,17.4,1.87,Kitaminagaha
PI196155,IV,D,P,G,E,N,Bl,S,Lgn,Bf,44.6,17.4,50.5,11.7,11003.0,730.0,1014.0,81.0,1014.0,3.6,2.5,13.8,1.93,Kurosaya
PI196156,III,D,P,T,E,N,Br,D,Y,Br,43.3,19.6,49.9,10.9,11003.0,716.0,918.0,66.0,918.0,2.4,2.8,15.7,1.86,Marukotubu
PI196157,III,D,P,T,E,N,Br,D,Y,Br,43.1,19.9,50.9,9.2,11003.0,721.0,923.0,74.0,923.0,2.8,2.5,14.8,1.61,Mituisidaizu
PI196158,II,D,P,-,-,G,Br,S,Y,Br,39.5,19.9,44.9,7.3,11002.0,713.0,923.0,43.0,923.0,1.2,2.5,20.6,1.41,Nagabahadaka
PI196159,I,D,P,T,E,Ssp,Br,S,Y,Br,38.7,20.6,45.0,5.4,11002.0,630.0,828.0,43.0,828.0,1.2,3.0,21.5,1.45,Okuhara-1
PI196160,I,D,P,T,E,N,Br,S,Y,Br,38.5,20.8,46.9,6.0,11002.0,708.0,910.0,61.0,910.0,1.8,3.5,24.1,2.05,Ooyachi-2
PI196161,II,D,W,G,E,N,Tn,S,Y,Bf,38.1,20.1,46.8,6.6,11002.0,708.0,910.0,56.0,910.0,2.7,2.5,18.8,2.64,Rankosi-1
PI196162,III,D,P,G,E,Ssp,Br,D,Y,Y,41.2,20.4,51.2,9.5,11003.0,717.0,1006.0,66.0,1006.0,2.6,3.0,28.2,2.06,Shirotsurunoko
PI196163,II,D,P,T,E,Ssp,Br,D,Y,Br,39.0,19.5,49.9,7.5,11002.0,712.0,914.0,74.0,914.0,1.4,2.5,15.4,2.41,Tokatinagaha
PI196164,III,D,P,T,Sa,N,Bl,S,Bl,Bl,40.6,19.6,53.3,9.0,11003.0,726.0,1007.0,69.0,1007.0,2.9,2.0,8.6,1.97,Wasekurosengoku
PI196165,III,D,W,G,E,Ssp,Br,D,Y,Y,42.7,19.5,47.7,10.5,11003.0,713.0,930.0,48.0,930.0,2.9,3.0,17.7,1.51,Wasetsurunoko
